 OttaCamera/loc03,45.4160492,-75.6721437, 417 near Lees Ave
 OttaCamera/loc04,45.4024351,-75.7094103, 417 near Booth St
 OttaCamera/loc05,45.3966268,-75.7295591, 417 btn Merivale Rd and Parkdale Ave
 OttaCamera/loc06,45.386079,-75.737087, 417 S of Carling Ave
 OttaCamera/loc07,45.380921,-75.746885, 417 N of Carling Ave
 OttaCamera/loc08,45.3613655,-75.7673407, 417 near Woodroffe Ave
 OttaCamera/loc09,45.3494802,-75.7889593, 417 near Pinecrest Rd
 OttaCamera/loc11,45.344899,-75.807766, S of 417 btn Hwy 416 and Richmond Rd
 OttaCamera/loc10,45.3458266,-75.8127236, N of 417 btn Hwy 416 and Richmond Rd
 OttaCamera/loc13,45.4205,-75.6294, 417 Between Ottawa Road 174 and St. Laurent Blvd.
 LondonCamera/loc01,42.988074,-82.404456, 402 near Front St N
 LondonCamera/loc02,42.98769,-82.398469, 402 near Christina St N
 LondonCamera/loc03,42.986795,-82.373911, 402 near Indian Rd S
 LondonCamera/loc04,42.989503,-82.349911, 402 near Modeland Rd
 LondonCamera/loc05,42.990295,-82.32488, 402 near Blackwell Sideroad
 LondonCamera/loc06,42.989824,-82.310053, 402 near Airport Rd
 LondonCamera/loc07,42.994156,-82.288563, 402 near Jackson Rd
 LondonCamera/loc08,42.99374,-82.265936, 402 near Brigden Rd
 LondonCamera/loc09,42.993316,-82.242558, 402 near Waterworks Sideroad
 LondonCamera/loc10,42.993167,-82.23169, 402 near Mandaumin Rd
 LondonCamera/loc30,42.936192,-81.177893, 401 near Highbury Ave S
 LondonCamera/loc31,42.922115,-81.211796, 401 near Wellington Rd S
 LondonCamera/loc20,42.941093,-81.139526, 401 near Old Victoria Rd S
 LondonCamera/windsor/loc01,42.304288,-83.065781, Patricia near Wyandotte
 LondonCamera/windsor/loc02,42.298494,-83.064721, College near Huron Church Road
 LondonCamera/windsor/loc03,42.289995,-83.059681, Tecumseh near Huron Church Road
 LondonCamera/windsor/loc06,42.257678,-83.039207, Pulford near Huron Church Road
 LondonCamera/windsor/loc07,42.250921,-83.035543, Cabana Todd Lane near Highway #3
 LondonCamera/windsor/loc08,42.244263,-83.019694, St Clair College near Highway #3
 LondonCamera/windsor/loc09,42.242394,-83.01455, Cousineau near Highway #3
 LondonCamera/windsor/loc10,42.235031,-82.996842, Howard near Highway #3
 LondonCamera/windsor/loc89,42.23303755,-82.98572302, Hwy #401 near Highway #3
 LondonCamera/windsor/loc91,42.23503141,-82.98406541, Hwy #401
 LondonCamera/windsor/loc20,42.272104,-83.059379, E. C. Row near Malden
 LondonCamera/windsor/loc21,42.271119,-83.04823, E. C. Row near Huron Church Road
 LondonCamera/windsor/loc22,42.274089,-83.029888, E. C. Row near Dominion
 LondonCamera/windsor/loc23,42.276572,-83.012022, E. C. Row near Howard Ave
 LondonCamera/windsor/loc24,42.283285,-82.981912, E. C. Row near Walker Rd
 LondonCamera/windsor/loc25,42.28465,-82.970432, E. C. Row near Central Ave
 LondonCamera/windsor/loc26,42.290435,-82.939824, E. C. Row near Jefferson Ave
 LondonCamera/windsor/loc27,42.293103,-82.925989, E. C. Row near Lauzon Parkway
 LondonCamera/windsor/loc28,42.297627,-82.904805, E. C. Row near West of Banwell Rd
 LondonCamera/windsor/loc31,42.246684,-82.979374, Dougall Parkway near Sixth Concession
 LondonCamera/windsor/loc32,42.250643,-82.996852, Dougall Parkway near Howard Ave
 LondonCamera/windsor/loc33,42.25433,-83.002065, Dougall Ave near Roseland Dr
 LondonCamera/windsor/loc34,42.275163,-83.003592, Dougall Ave near Cabana Rd
 LondonCamera/windsor/loc35,42.2735,-83.014586, Dougall Ave near West Grand
 LondonCamera/windsor/loc36,42.278016,-83.017201, Dougall Ave near E. C. Row North Ramp
 LondonCamera/windsor/loc37,42.286559,-83.018911, Ouellette near Eugenie St
 LondonCamera/windsor/loc38,42.296751,-83.025449, Ouellette near Tecumseh Rd
 LondonCamera/windsor/loc40,42.305343,-83.030993, Ouellette near Giles
 LondonCamera/windsor/loc45,42.298225,-83.017542, Tecumseh Rd near Howard
 LondonCamera/windsor/loc46,42.300036,-83.006097, Tecumseh Rd near Hall
 LondonCamera/windsor/loc47,42.302517,-82.994862, Tecumseh Rd near Walker Rd
 LondonCamera/windsor/loc48,42.303742,-82.988643, Tecumseh Rd near Chrysler Ctr
 LondonCamera/windsor/loc49,42.305231,-82.980702, Tecumseh Rd near Central Ave
 LondonCamera/windsor/loc59,42.291836,-82.981259, Chrysler Ctr near Grand Marais
 LondonCamera/windsor/loc60,42.29464,-82.973406, Central near Grand Marais
 LondonCamera/windsor/loc61,42.314782,-83.034885, Wyandotte near Goyeau
 LondonCamera/windsor/loc62,42.315595,-83.032735, Wyandotte near McDougall
 LondonCamera/windsor/loc63,42.317037,-83.028662, Wyandotte near Alymer
 LondonCamera/windsor/loc64,42.320436,-83.019136, Wyandotte near Hall
 LondonCamera/windsor/loc65,42.323796,-83.008495, Wyandotte near Walker
 LondonCamera/windsor/loc71,42.312584,-83.033819, Goyeau near Elliot
 LondonCamera/windsor/loc72,42.317118,-83.036347, Goyeau near Park
 LondonCamera/windsor/loc80,42.262893,-82.969475, Walker near Division
 OttaCamera/loc41,44.38613889,-75.96636111, 401 E of Hwy 137
 OttaCamera/loc42,44.38247222,-75.98311111, 401 near Hwy 137
 OttaCamera/loc43,44.37905556,-75.99538889, 401 E of Reynolds Rd.
 OttaCamera/loc44,44.37011111,-75.97863889, 137 near 1000 islands Pkwy
 OttaCamera/loc50,44.28971389,-76.4301056, 401 near Hwy 15
 OttaCamera/loc51,44.2791,-76.4749278, 401 near Montreal St.
 OttaCamera/loc52,44.2698,-76.4983056, 401 near Division St.
 OttaCamera/loc53,44.27817222,-76.5454833, 401 near Sydenham Rd.
 OttaCamera/loc54,44.28768333,-76.571225, 401 near Gardiners Rd.
 OttaCamera/loc55,44.27190273,-76.5207517, 401 near Sir John A Macdonald Blvd.
 OttaCamera/loc56,44.23251622,-76.47853911, Wolfe Island Ferry - Barrack Street
 OttaCamera/loc57,44.19428605,-76.44059658, Wolfe Island Ferry - Marysville Terminal (Summer)
 OttaCamera/loc58,44.1951899,-76.43734843, Wolfe Island Ferry - Marysville Main Street
 OttaCamera/loc59,44.21344846,-76.4226687, Wolfe Island Ferry - Dawson's Point Approach (Winter)
 OttaCamera/loc60,44.21509214,-76.42522484, Wolfe Island Ferry - Dawson's Point Terminal (Winter)
